,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
17,-0.0012495192,0.0003848442,-0.0021478445,-0.0047101676,-0.005572715,0.0035152903,0.030336255,-0.24567027,0.120626286,0.008000969,-0.015370796
18,4.0964755e-06,0.0021265852,-0.0033991626,-0.01386863,0.0053827665,-0.0058724326,-0.041286305,-0.34041682,0.09554239,0.013803857,0.011876087
19,0.000656114,0.0004050294,-0.0025747882,-0.011201089,0.009713772,0.0068383985,-0.017328067,-0.13815089,-0.029771082,-0.0028299303,0.0030471296
20,0.000710947,-0.0008032264,-0.0059015593,-0.00673217,0.0044113784,0.018942999,0.030435475,0.24579217,0.028223762,0.005979956,-0.008301178
21,0.00090763957,-0.0025717653,-0.011115683,0.0020344167,0.00345898,-0.012934469,0.060488183,0.40283385,0.030428486,-0.009548567,-0.0032900963
22,7.746043e-05,-0.0021145274,-0.008414561,0.009725558,0.009748286,-0.021471148,-0.007583487,0.2167661,-0.069209896,-0.006535531,0.007528374
23,-0.0006452007,-0.005172008,-0.009080027,0.0033408427,0.006647845,-0.005881895,-0.110566616,-0.01865619,-0.0035052127,0.0023415904,0.0065477006
24,-0.00087218324,-0.0064168433,0.0033513147,0.0109626055,-0.010385475,0.02726618,-0.109336086,-0.34413633,0.013569759,0.00087756227,-0.010765467
25,-0.0016256641,-0.008160929,0.0036399146,0.008491444,-0.0034306587,0.08012979,-0.07648175,-0.07430656,-0.023924097,-0.0043195602,-0.0074346294
26,-0.0039164503,-0.008126459,0.0037341802,0.008458455,-0.0106897,0.034291085,0.011803715,0.14795157,0.016614957,0.0035567412,0.0009424396
27,-0.006068455,0.0009730864,0.008657057,0.004319571,0.010609496,-0.08138087,0.051099945,0.08918371,0.004672886,0.0048185256,0.00019542422
28,-0.008465636,0.00063830096,0.010543041,-0.0037134276,0.026037611,-0.069376014,0.07110912,-0.10372392,0.00057309645,-0.006383189,0.0021201703
29,-0.0042845113,0.0024468254,0.011548465,-0.008684584,0.021299453,0.0032599368,0.16727147,-0.08854363,-0.0065668616,-0.0051991227,-0.0005911838
30,-0.0001946514,0.006364549,0.005774014,-0.0074115084,-0.021077804,-0.018803835,0.14170739,-0.0034291383,-0.01949883,-0.0043511037,-0.0026379647
31,-0.0016599396,0.009668158,-0.0011341579,-0.007637831,0.011784902,0.0006035351,-0.004301402,0.1075838,0.0139877675,-0.0017068257,-0.004589521
32,-0.00088266574,0.0069208425,-0.00073623814,0.011902268,0.010926222,0.03641234,-0.13211423,0.042955108,-0.0014986031,0.0023946776,0.00019068221
33,0.0051764855,0.0062222085,-0.0025892656,0.0181173,-0.032981437,0.026871055,-0.0698422,-0.1003815,0.0026560063,-0.0010008849,0.0006967476
34,0.0071764155,0.0032497265,-0.010394908,0.017275533,-0.002405195,0.013196271,0.016780049,0.014762073,0.006643791,-0.00021231205,0.005908491
35,0.008046894,0.0036965723,-0.0047348384,-0.0031989992,0.008302724,0.04054606,-0.022213109,0.07047671,-0.016253807,8.089688e-05,0.0043154773
36,0.006353301,0.00043753698,0.00063386327,0.026176393,0.0068260897,0.02617791,-0.0615867,-0.08928176,0.008403824,0.0046089375,0.00021159361
37,0.0043782545,-0.0013895732,0.010579813,0.0053295796,0.0023819208,-0.011922275,-0.10747319,-0.058049288,-0.010314159,0.001930323,-0.0028896525
38,0.0041361735,-0.0043559624,0.013983599,-0.006528152,-0.012703745,-0.048990194,-0.07093602,0.17242424,-0.004062505,0.0059432397,0.0022082112
39,0.004573405,-0.00016536476,0.018818375,0.010666093,-0.004460167,-0.053939134,0.0635012,-0.06085386,0.0015248695,0.00220348,-0.00042229294
40,0.003032073,-0.00036381892,0.019503437,0.00047394936,-0.002608066,0.006271767,0.20463333,-0.10209377,0.0049340916,1.2487258e-05,-0.001042078
